key,en,fr,zh_Hans_CN,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
ITEM_FOXLAB_WANTED,WANTED,RECHERCHÉ,通缉令,手配書,현상 수배,通緝令,РАЗЫСКИВАЕТСЯ,LIST GOŃCZY,SE BUSCA,PROCURADO,GESUCHT,ARANIYOR,RICERCATO
ITEM_FOXLAB_WANTED_MONK,WANTED,RECHERCHÉ,通缉令,手配書,현상 수배,通緝令,РАЗЫСКИВАЕТСЯ,LIST GOŃCZY,SE BUSCA,PROCURADO,GESUCHT,ARANIYOR,RICERCATO
ITEM_FOXLAB_ENCHANTED_EYES,Enchanted Eyes,Yeux enchantés,天眼,魔眼,천안,天眼,Зачарованные глаза,Zaczarowane Oczy,Ojos Encantados,Olhos Encantados,Verzauberte Augen,Büyülü Gözler,Occhi Incantati
ENEMY_GOLD_DROPS,% Enemy Gold Grops,% Matériaux lâchés par les ennemis,%敌人掉落的材料,%敵のマテリアルドロップ,% 적 재료 드롭,%敵人掉落的素材,% Выпадение материалов из врагов,% Materiały Upuszczane przez Wrogów,% Caída de Materiales de Enemigos,% Materiais Dropados por Inimigos,% Materialien Drops von Feinden,% Düşman Malzeme Düşüşü,% Drop Materiali Nemici
GOLD_DROPS,% Gold Grops,% Matériaux lâchés,%掉落的材料,%マテリアルドロップ,% 재료 드롭,%掉落的素材,% Выпадение материалов,% Upuszczane Materiały,% Caída de Materiales,% Materiais Dropados,% Materialien Drops,% Malzeme Düşüşü,% Drop Materiali
FOXLAB_WANTED_FOUND,WANTED found: {0},RECHERCHÉ trouvé : {0},找到通缉令：{0},手配書発見：{0},현상 수배 발견: {0},找到通緝令：{0},РАЗЫСКИВАЕТСЯ найден: {0},Znaleziono List Gończy: {0},SE BUSCA encontrado: {0},PROCURADO encontrado: {0},GESUCHT gefunden: {0},ARANIYOR bulundu: {0},Trovato RICERCATO: {0}
EFFECT_FOXLAB_GAIN_STAT_FOR_EVERY_DIFFERENT_STAT,{0} {1} for every {2} different {3} you have [{4}],{0} {1} pour chaque {2} {3} différent(e) que vous possédez [{4}],每持有{2}异种{3}有{0}{1}[{4}],異なる{3}を{2}種類持つごとに{0}{1}[{4}],{2}가지 다른 {3}마다 {0} {1} [{4}],每持有{2}異種{3}有{0}{1}[{4}],{0} {1} за каждые {2} разных {3} которые у вас есть [{4}],{0} {1} za każde {2} różne {3},{0} {1} por cada {2} {3} diferente que tengas [{4}],{0} {1} para cada {2} {3} diferentes que você tem [{4}],{0} {1} für je {2} verschiedene {3} die du besitzt [{4}],Sahip olduğun her {2} farklı {3} için {0} {1} [{4}],{0} {1} per ogni {2} {3} diversi che possiedi [{4}]
CHARACTER_FOXLAB_GOLEM_NINJA,Golem Ninja,Ninja Golem,傀儡忍者,ゴーレムニンジャ,골렘 닌자,傀儡忍者,Голем-ниндзя,Golem Ninja,Ninja Golem,Ninja Golem,Golem-Ninja,Golem Ninja,Ninja Golem
ITEM_FOXLAB_OMNIC_CRISIS,Omnic Crisis,Crise Omnique,智械危机,オムニッククライシス,옴닉 위기,智械危機,Омнический кризис,Kryzys Omnica,Crisis Omnic,Crise Omni,Omnic-Krise,Omnik Kriz,Crisi Omni
EFFECT_FOXLAB_TEMP_STATS_ON_STRUCTURE_CRIT,{0} {1} until the end of the wave when structure kills an enemy with a critical hit,{0} {1} jusqu'à la fin de la vague quand une structure tue un ennemi avec un coup critique,构筑物以暴击杀死敌人会{0}{1}直至敌袭结束,建造物がクリティカルヒットで敵を倒すと、ウェーブ終了まで{0}{1},구조물이 치명타로 적을 처치하면 웨이브가 끝날 때까지 {0} {1},結構物以暴擊殺死敵人會{0}{1}直至敵襲結束,{0} {1} до конца волны когда конструкция убивает врага критическим ударом,{0} {1} do końca fali,{0} {1} hasta el final de la oleada cuando una estructura mata a un enemigo con un golpe crítico,{0} {1} até o final da onda quando uma estrutura mata um inimigo com acerto crítico,{0} {1} bis zum Ende der Welle wenn eine Struktur einen Feind mit einem kritischen Treffer tötet,Bir yapı kritik vuruşla düşman öldürdüğünde hücum sonuna kadar {0} {1},{0} {1} fino alla fine dell'onda quando una struttura uccide un nemico con un colpo critico
CRIT_CHANCE_CAP,% Crit Chance Cap,% Plafond de chances de critique,%暴击率上限,%クリティカル率上限,% 치명타 확률 상한,%爆擊機率上限,% Максимальный шанс крита,% Limit Szansy na Krytyk,% Límite de Prob. Crítico,% Limite de Chance de Crítico,% Krit-Treffer-Chance Cap,% Kritik Vuruş Şansı Sınırı,% Limite Probabilità Critico
EFFECT_FOXLAB_GOLEM_NINJA,"When above works for {3} times with {2} > {4}, penalty of [color=#FF8C00]{5}[/color] gone ([color=#FF8C00]{0}[/color] to go)","Quand ce qui précède s'active {3} fois avec {2} > {4}, la pénalité de [color=#FF8C00]{5}[/color] disparaît ([color=#FF8C00]{0}[/color] restants)",上一项{3}次执行都有{2}＞{4}，可解除[color=#FF8C00]{5}[/color]负面（余[color=#FF8C00]{0}[/color]）,上記が{3}回発動し{2}＞{4}の場合、[color=#FF8C00]{5}[/color]のペナルティを解除（残り[color=#FF8C00]{0}[/color]）,위 효과가 {3}번 발동하며 {2} > {4}일 경우 [color=#FF8C00]{5}[/color]의 페널티가 해제됩니다 (남은 [color=#FF8C00]{0}[/color]),上一項{3}次執行都有{2}＞{4}，可解除[color=#FF8C00]{5}[/color]負面（餘[color=#FF8C00]{0}[/color]）,"Когда вышеуказанное срабатывает {3} раз с {2} > {4}, штраф [color=#FF8C00]{5}[/color] снимается (осталось [color=#FF8C00]{0}[/color])","Gdy powyższe zadziała {3} razy z {2} > {4}, kara [color=#FF8C00]{5}[/color] znika ([color=#FF8C00]{0}[/color] pozostało)","Cuando lo anterior funciona {3} veces con {2} > {4}, la penalización de [color=#FF8C00]{5}[/color] desaparece (quedan [color=#FF8C00]{0}[/color])","Quando acima funciona por {3} vezes com {2} > {4}, a penalidade de [color=#FF8C00]{5}[/color] desaparece ([color=#FF8C00]{0}[/color] restante)","Wenn obiges {3} Mal wirkt mit {2} > {4}, verschwindet die Strafe von [color=#FF8C00]{5}[/color] ([color=#FF8C00]{0}[/color] verbleibend)","Yukarıdaki {3} kez {2} > {4} ile çalıştığında, [color=#FF8C00]{5}[/color] cezası kalkar ([color=#FF8C00]{0}[/color] kaldı)","Quando sopra funziona per {3} volte con {2} > {4}, la penalità di [color=#FF8C00]{5}[/color] scompare ([color=#FF8C00]{0}[/color] rimaste)"
CHARACTER_FOXLAB_MAGICIAN,Magician,Magicien,魔术师,マジシャン,마술사,魔術師,Фокусник,Iluzjonista,Mago,Mago,Magier,İllüzyonist,Mago
ITEM_FOXLAB_MAGICAL_HAT,Magical Hat,Chapeau magique,魔术帽,マジカルハット,매직햇,魔術帽,Магический цилиндр,Magiczny Kapelusz,Sombrero Mágico,Chapéu Mágico,Magischer Hut,Büyülü Şapka,Cappello Magico
EFFECT_FOXLAB_PERMANENT,permanent ,permanent ,永久,永続的,영구,永久,постоянно,na stałe ,permanente ,permanente ,Dauerhaft,kalıcı,permanente 
EFFECT_FOXLAB_MAGICIAN,[color=#FF8C00]Magical Hat[/color] count affects you:,Le nombre de [color=#FF8C00]Chapeaux magiques[/color] vous affecte :,[color=#FF8C00]魔术帽[/color]数量影响你的能力：,[color=#FF8C00]マジカルハット[/color]の所持数が能力に影響する：,[color=#FF8C00]매직햇[/color] 개수가 능력에 영향을 줍니다:,[color=#FF8C00]魔術帽[/color]數量影響你的能力：,Количество [color=#FF8C00]Магических цилиндров[/color] влияет на вас:,[color=#FF8C00]Magiczny Kapelusz[/color] wpływa na twoje zdolności:,La cantidad de [color=#FF8C00]Sombreros Mágicos[/color] te afecta:,A quantidade de [color=#FF8C00]Chapéus Mágicos[/color] afeta você:,[color=#FF8C00]Magischer Hut[/color]-Anzahl beeinflusst dich:,[color=#FF8C00]Büyülü Şapka[/color] sayısı seni etkiler:,Il numero di [color=#FF8C00]Cappelli Magici[/color] ti influenza:
EFFECT_FOXLAB_MAGICIAN_NEG,"Stealing from the shop tends to spawn an elite, enemies get {0} stronger at the end of a wave","Voler la boutique a tendance à faire apparaître une élite, les ennemis sont {0} plus forts à la fin d'une vague",窃取易出精英怪，敌袭结束后敌人增强{0},ショップからの窃盗はエリートが出現しやすく、ウェーブ終了時に敵が{0}強化される,상점에서 훔치면 엘리트가 나타나기 쉬워지며,竊取易出精英怪，敵襲結束後敵人增強{0},Кража из магазина склонна порождать элитников; враги становятся на {0} сильнее в конце волны,Kradzież ze sklepu ma tendencję do przywoływania elitarnego wroga,"Robar de la tienda tiende a generar una élite, los enemigos se vuelven {0} más fuertes al final de una oleada",Roubar da loja tende a gerar um élite; inimigos ficam {0} mais fortes no final de uma onda,Stehlen aus dem Shop neigt dazu einen Elitegegner zu erschaffen; Feinde werden am Ende einer Welle um {0} stärker,"Dükkândan çalmak genellikle bir elit çıkarır, hücum sonunda düşmanlar {0} daha güçlenir",Rubare dal negozio tende a generare un'elite i nemici diventano {0} più forti alla fine di un'onda
EFFECT_FOXLAB_SWITCH_ITEM_LOCKING,"Can't lock items, items locked before are [color=#FF8C00]still locked[/color] after bought","Impossible de verrouiller les objets, les objets verrouillés auparavant [color=#FF8C00]restent verrouillés[/color] après achat",无法锁定物品，此前锁定的物品购买后[color=#FF8C00]仍被锁定[/color],アイテムをロックできない、以前にロックされたアイテムは購入後も[color=#FF8C00]ロックされたまま[/color],아이템을 잠글 수 없으며,無法鎖定物品，此前鎖定的物品購買後[color=#FF8C00]仍被鎖定[/color],Нельзя блокировать предметы; заблокированные ранее предметы [color=#FF8C00]остаются заблокированными[/color] после покупки,"Nie można blokować przedmiotów, przedmioty zablokowane wcześniej [color=#FF8C00]pozostają zablokowane[/color] po zakupie","No puedes bloquear objetos, los objetos bloqueados antes [color=#FF8C00]siguen bloqueados[/color] tras comprarlos",Não pode travar itens itens travados antes [color=#FF8C00]continuam travados[/color] após compra,Gegenstände können nicht gesperrt werden; zuvor gesperrte Gegenstände sind nach dem Kauf [color=#FF8C00]weiterhin gesperrt[/color],"Eşyaları kilitleyemezsin, daha önce kilitlenmiş eşyalar satın alındıktan sonra [color=#FF8C00]hâlâ kilitli[/color] kalır",Non puoi bloccare gli oggetti gli oggetti bloccati prima [color=#FF8C00]rimangono bloccati[/color] dopo l'acquisto
EFFECT_FOXLAB_MAGICIAN_TREE,{2} becomes remainder of {1}/{3} {4},{2} devient le reste de {1}/{3} {4},敌袭结束时置{2}为{1}/{3}余数再{4},ウェーブ終了時に{2}を{1}/{3}の余りにしてから{4},웨이브 종료 시 {2}을(를) {1}/{3}의 나머지로 설정한 후 {4},敵襲結束時置{2}為{1}/{3}餘數再{4},{2} становится остатком от {1}/{3} {4},{2} staje się resztą z {1}/{3} {4},{2} se convierte en el residuo de {1}/{3} {4},{2} se torna o resto de {1}/{3} {4},{2} wird zum Rest von {1}/{3} {4},"{2}, {1}/{3} bölümünden kalan {4} olur",{2} diventa il resto di {1}/{3} {4}
EFFECT_FOXLAB_TIER_X_WEAPON,Can equip tier {0} weapon only,Peut équiper uniquement des armes de rang {0},只能装备{0}级别武器,ティア{0}の武器のみ装備可能,{0}등급 무기만 장착할 수 있습니다,只能裝備{0}級別武器,Можно экипировать только оружие {0} ранга,Możesz wyposażyć tylko broń poziomu {0},Solo puede equipar armas de nivel {0},Pode equipar apenas armas de tier {0},Kann nur Waffen der Stufe {0} ausrüsten,Yalnızca seviye {0} silah kuşanabilir,Puoi equipaggiare solo armi di grado {0}
EFFECT_FOXLAB_TIER_XY_WEAPON,Can equip tier {0} ~ {1} weapon,Peut équiper des armes de rang {0} ~ {1},能装备{0}～{1}级别武器,ティア{0}～{1}の武器を装備可能,{0}~{1}등급 무기를 장착할 수 있습니다,能裝備{0}～{1}級別武器,Можно экипировать оружие с {0} по {1} ранг,Możesz wyposażyć broń poziomu {0} ~ {1},Puede equipar armas de nivel {0} ~ {1},Pode equipar armas de tier {0} ~ {1},Kann Waffen der Stufe {0} bis {1} ausrüsten,Seviye {0} ~ {1} silah kuşanabilir,Puoi equipaggiare armi di grado {0} ~ {1}
EFFECT_FOXLAB_SEMICOLON,;,;,；,；,;,；,;,;,;,;,;,;,;
EFFECT_FOXLAB_PERIOD,.,.,。,。,.,。,.,.,.,.,.,.,.
EFFECT_FOXLAB_STEAL_INIT,(based on when you just enter a shop),(basé sur le moment où vous entrez dans la boutique),（以刚进商店状态为准）,（ショップに入った直後の状態に基づく）,(상점에 막 진입한 상태를 기준으로 함),（以剛進商店狀態為準）,(на основе состояния при входе в магазин),(na podstawie stanu przy wejściu do sklepu),(basado en cuando acabas de entrar a una tienda),(baseado quando você acaba de entrar na loja),(basiert auf dem Zustand beim Betreten des Ladens),( dükkâna yeni girdiğinde durumuna göre),(basato su quando entri appena in un negozio)
CHARACTER_FOXLAB_ALCHEMIST,Alchemist,Alchimiste,炼丹师,アルケミスト,연금술사,煉丹師,Алхимик,Alchemik,Alquimista,Alquimista,Alchemist,Simyacı,Alchimista
EFFECT_FOXLAB_ELEMENTAL_LANDMINE,Spawn a landmine if enemy is kill by {1} from burning or weapon directly,Engendre une mine si un ennemi est tué par {1} venant de brûlure ou d'arme directement,直接来自武器或燃烧的{1}杀死敌人会生成1地雷,武器または燃焼による{1}で敵を倒すと地雷を1つ生成する,무기나 화상으로 인한 {1}이(가) 적을 처치하면 지뢰가 1개 생성됩니다,直接來自武器或燃燒的{1}殺死敵人會生成1地雷,Создаёт мину если враг убит {1} от горения или оружия напрямую,Przywołaj minę,Genera una mina si el enemigo es asesinado por {1} de quemadura o arma directamente,Gera uma mina se o inimigo for morto por {1} de queimadura ou arma diretamente,Erschafft eine Mine wenn ein Feind durch {1} aus Verbrennung oder direkter Waffe getötet wird,Yanıktan veya silahtan doğrudan gelen {1} ile düşman ölürse 1 kara mayını oluşur,Genera una mina se il nemico viene ucciso da {1} per ustione o arma direttamente
EFFECT_FOXLAB_NO_TREES,No tree to spawn,Aucun arbre à faire apparaître,无法生成树木,木を生成できない,나무를 생성할 수 없습니다,無法生成樹木,Деревья не появляются,Brak drzew do wygenerowania,No se pueden generar árboles,Nenhuma árvore para surgir,Kein Baum kann erscheinen,Ağaç oluşturulamaz,Nessun albero da generare
CHARACTER_FOXLAB_ALL_OR_NOTHING,All or Nothing,Tout ou Rien,二极管,オールオアナッシング,올오어낫띵,二極體,Всё или ничего,Wszystko albo Nic,Todo o Nada,Tudo ou Nada,Alles oder Nichts,Hepsi veya Hiçbiri,Tutto o Niente
EFFECT_FOXLAB_PIERCING_IS_BOUNCE,Piercing is [color=#FF8C00]bounce[/color],Le perçage devient [color=#FF8C00]rebond[/color],贯通改为[color=#FF8C00]反弹[/color],貫通が[color=#FF8C00]反射[/color]になる,관통이 [color=#FF8C00]반사[/color]로 변경됩니다,貫通改為[color=#FF8C00]反彈[/color],Пробивание заменено на [color=#FF8C00]отскок[/color],Przebicie to [color=#FF8C00]odbicie[/color],La penetración es [color=#FF8C00]rebote[/color],Perfuração é [color=#FF8C00]Ricochete[/color],Durchdringung ist [color=#FF8C00]Abprallen[/color],Delme [color=#FF8C00]sekme[/color] olur,La Perforazione è [color=#FF8C00]Rimbalzo[/color]
EFFECT_FOXLAB_STATS_END_OF_WAVE_AFTER_WAVE,"Starting at wave {0}, {1}","À partir de la vague {0}, {1}",从第{0}波开始，{1},ウェーブ{0}から、{1},{0}웨이브부터 시작,從第{0}波開始，{1},"Начиная с волны {0}, {1}",Zaczynając od fali {0},"Comenzando en la oleada {0}, {1}","A partir da onda {0}, {1}","Ab Welle {0}, {1}","{0}. dalgadan itibaren, {1}",A partire dall'onda {0} {1}
EFFECT_FOXLAB_STATS_END_OF_WAVE_BEFORE_WAVE,", until the end of wave {0}",", jusqu'à la fin de la vague {0}",，截止到第{0}波结束,、ウェーブ{0}終了まで,웨이브 {0} 종료까지,，截止到第{0}波結束,", до конца волны {0}",do końca fali {0},", hasta el final de la oleada {0}",até o final da onda {0},", bis zum Ende von Welle {0}",", {0}. dalga sonuna kadar",fino alla fine dell'onda {0}
EFFECT_FOXLAB_SET_AS_LAST_TWO,{2} is the last 2 digits of {1} at the end of a wave,{2} correspond aux 2 derniers chiffres de {1} à la fin d'une vague,敌袭结束时置{2}为{1}低2位,ウェーブ終了時に{2}を{1}の下2桁にする,웨이브 종료 시 {2}을(를) {1}의 마지막 2자리 수로 설정,敵襲結束時置{2}為{1}低2位,{2} становится последними 2 цифрами {1} в конце волны,{2} to ostatnie 2 cyfry z {1} na końcu fali,{2} son los últimos 2 dígitos de {1} al final de una oleada,{2} são os últimos 2 dígitos de {1} no final de uma onda,{2} sind die letzten 2 Ziffern von {1} am Ende einer Welle,"Bir hücum sonunda {2}, {1}'nin son 2 rakamı olur",{2} corrisponde alle ultime 2 cifre di {1} alla fine di un'onda
EFFECT_FOXLAB_ODD,Odd,Impair,奇数,奇数,홀수,奇數,Нечётное,Nieparzyste,Impar,Ímpar,Ungerade,Tek,Dispari
EFFECT_FOXLAB_EVEN,Even,Pair,偶数,偶数,짝수,偶數,Чётное,Parzyste,Par,Par,Gerade,Çift,Pari
EFFECT_FOXLAB_LOSE,Lose,Perte,失去,失う,상실,失去,Потеря,Utrata,Pierde,Perda,Verlieren,Kaybet,Perdi
EFFECT_FOXLAB_GAIN,Gain,Gain,获得,獲得,획득,獲得,Получение,Zysk,Gana,Ganho,Erhalten,Kazan,Guadagna
EFFECT_FOXLAB_ALL_OR_NOTHING,{5}/{6} equivalent {1} for killing {3}/{4} enemies by a [color=#FF8C00]direct[/color] weapon attack,{5}/{6} {1} équivalent pour avoir tué {3}/{4} ennemis par une [color=#FF8C00]attaque directe[/color] d'arme,武器单次攻击[color=#FF8C00]直接[/color]杀死{3}/{4}敌人，分别{5}/{6}等量{1},武器の単発攻撃で[color=#FF8C00]直接[/color]{3}/{4}体の敵を倒すと、それぞれ{5}/{6}の等量{1},무기 단일 공격으로 [color=#FF8C00]직접[/color] {3}/{4}명의 적을 처치하면 각각 {5}/{6}의 동등한 {1},武器單次攻擊[color=#FF8C00]直接[/color]殺死{3}/{4}敵人，分別{5}/{6}等量{1},{5}/{6} эквивалентных {1} за убийство {3}/{4} врагов [color=#FF8C00]прямым[/color] ударом оружия,{5}/{6} równoważne {1} za zabicie {3}/{4} wrogów przez [color=#FF8C00]bezpośredni[/color] atak bronią,{5}/{6} {1} equivalente por matar {3}/{4} enemigos con un ataque de arma [color=#FF8C00]directo[/color],{5}/{6} {1} equivalente por matar {3}/{4} inimigos com um ataque [color=#FF8C00]direto[/color] de arma,{5}/{6} entsprechende {1} für das Töten von {3}/{4} Feinden durch einen [color=#FF8C00]direkten[/color] Waffenangriff,Bir [color=#FF8C00]doğrudan[/color] silah saldırısıyla {3}/{4} düşman öldürdüğünde sırasıyla {5}/{6} eşdeğer {1},{5}/{6} {1} equivalente per l'uccisione di {3}/{4} nemici con un attacco [color=#FF8C00]diretto[/color] di un'arma
CHARACTER_FOXLAB_POET,Poet,Poète,诗人,詩人,시인,詩人,Поэт,Poeta,Poeta,Poeta,Dichter,Şair,Poeta
FOXLAB_POET_NEXT_CURSE_CHANCE,% Chance to Curse Locked Next Wave,% Chance de maudire les objets verrouillés à la prochaine vague,%下个商店锁定物诅咒率,%次のウェーブでロックアイテム呪い率,% 다음 상점 잠금 아이템 저주 확률,%下個商店鎖定物詛咒率,% Шанс проклятия заблокированных в следующей волне,% Szansa na Przeklęcie Zablokowanych w Następnym Sklepie,% Prob. de Maldecir Bloqueados en la Próxima Oleada,% Chance de Amaldiçoar Trancados na Próxima Onda,% Chance gesperrte Gegenstände nächste Welle zu verfluchen,% Sonraki Dalga Kilitli Eşyayı Lanetleme Şansı,% Probabilità di Maledire Oggetti Bloccati al Prossimo Negozio
CURSE_LOCKED_ITEMS,% Chance to Curse Locked,% Chance de maudire les verrouillés,%锁定物诅咒率,%ロックアイテム呪い率,% 잠금 아이템 저주 확률,%鎖定物詛咒率,% Шанс проклятия заблокированных,% Szansa na Przeklęcie Zablokowanych,% Prob. de Maldecir Bloqueados,% Chance de Amaldiçoar Trancados,% Chance gesperrte zu verfluchen,% Kilitli Eşyayı Lanetleme Şansı,% Probabilità di Maledire Oggetti Bloccati
EFFECT_STAT_ON_EVERY_STEP_VALID_LOWEST_TWO,{0} chance (take the last 2 digits) of cursing what's locked when leaving the [color=#FF8C00]next shop[/color] for every {2} steps you take during a wave,{0} chance (prendre les 2 derniers chiffres) de maudire ce qui est verrouillé en quittant la [color=#FF8C00]prochaine boutique[/color] pour chaque {2} pas effectués pendant une vague,每在一波袭击中前进{2}步，离开[color=#FF8C00]下个商店[/color]时{0}几率诅咒锁定物品（取低2位）,ウェーブ中に{2}歩進むごとに、[color=#FF8C00]次のショップ[/color]を出る時に{0}の確率でロックされたアイテムを呪う（下2桁を取る）,웨이브 동안 {2}걸음마다 [color=#FF8C00]다음 상점[/color]을 떠날 때 {0} 확률로 잠긴 아이템을 저주합니다 (마지막 2자리 수 적용),每在一波襲擊中前進{2}步，離開[color=#FF8C00]下個商店[/color]時{0}機率詛咒鎖定物品（取低2位）,{0} шанс (берутся последние 2 цифры) проклять заблокированное при выходе из [color=#FF8C00]следующего магазина[/color] за каждые {2} шагов во время волны,{0} szans (weź ostatnie 2 cyfry) na przeklęcie zablokowanych przedmiotów przy opuszczaniu [color=#FF8C00]następnego sklepu[/color] za każde {2} kroków wykonanych podczas fali,{0} probabilidad (tomar los últimos 2 dígitos) de maldecir lo bloqueado al salir de la [color=#FF8C00]próxima tienda[/color] por cada {2} pasos que des durante una oleada,{0} chance (pegue os últimos 2 dígitos) de amaldiçoar o que está travado ao sair da [color=#FF8C00]próxima loja[/color] a cada {2} passos dados durante uma onda,{0} Chance (letzte 2 Ziffern) gesperrte Gegenstände beim Verlassen des [color=#FF8C00]nächsten Ladens[/color] zu verfluchen für alle {2} Schritte die du während einer Welle machst,"Bir dalga sırasında her {2} adım attığında, [color=#FF8C00]sonraki dükkânı[/color] terk ederken kilitli olanları lanetleme şansı {0} (son 2 rakam alınır)",{0} probabilità (prendi le ultime 2 cifre) di maledire ciò che è bloccato quando lasci il [color=#FF8C00]prossimo negozio[/color] per ogni {2} passi fatti durante un'onda
CHARACTER_FOXLAB_TROUBLESHOOTER,Troubleshooter,Dépanneur,排险者,トラブルシューター,트러블슈터,排險者,Устранитель неполадок,Rozjemca,Solucionador de Problemas,Solucionador,Problemlöser,Sorun Giderici,Risolutore
ITEM_FOXLAB_TROUBLE_MUTATION,Troubleshooter Mutation,Mutation du Dépanneur,排险者的异变,トラブルシューターの変異,트러블슈터 돌연변이,排險者的異變,Мутация Устранителя,Mutacja Rozjemcy,Mutación del Solucionador,Mutação do Solucionador,Mutation des Problemlösers,Sorun Giderici Mutasyon,Mutazione del Risolutore
ITEM_FOXLAB_STARGAZER,Crisis Stargazer,Crise Astrologue,瞻星之危,星見の危機,관성의 위기,瞻星之危,Кризис: Звездочёт,Kryzys: Gwiezdny Obserwator,Mirador de Crisis,Crisis Observador de Estrelas,Krisen-Sternkunde,Kriz Yıldız Gözlemcisi,Crisis Osservatore di Stelle
ITEM_FOXLAB_SPLIT,Crisis Fission,Crise Fission,裂变之危,分裂の危機,분열의 위기,裂變之危,Кризис: Расщепление,Kryzys: Rozszczepienie,Fisión de Crisis,Crisis Fissão,Krisen-Spaltung,Kriz Bölünme,Crisis Fissione
ITEM_FOXLAB_EGGS,Crisis Eggs,Crise Œufs,累卵之危,累卵の危機,위태로운 알의 위기,累卵之危,Кризис: Яйца,Kryzys: Jaja,Huevos de Crisis,Crisis Ovos,Krisen-Eier,Kriz Yumurtalar,Crisis Uova
EFFECT_FOXLAB_NEXT_WAVE,Next wave ,Prochaine vague ,下波,次のウェーブ,다음 웨이브,下波,Следующая волна ,Następna fala,Próxima oleada ,Próxima onda ,Nächste Welle ,Sonraki dalga,Prossima onda 
EFFECT_FOXLAB_CRISIS,{0} chance of finding [color=#FF8C00]Crisis[/color] of 3 kinds in a crate,{0} chance de trouver une [color=#FF8C00]Crise[/color] parmi 3 types dans une caisse,箱子中各有{0}几率发现3种[color=#FF8C00]危机[/color],箱の中に3種類の[color=#FF8C00]危機[/color]がそれぞれ{0}の確率で見つかる,상자에서 3종류의 [color=#FF8C00]위기[/color]를 발견할 확률이 각각 {0}입니다,箱子中各有{0}機率發現3種[color=#FF8C00]危機[/color],{0} шанс найти [color=#FF8C00]Кризис[/color] 3 видов в ящике,{0} szans na znalezienie [color=#FF8C00]Kryzysu[/color] 3 rodzajów w skrzyni,{0} probabilidad de encontrar [color=#FF8C00]Crisis[/color] de 3 tipos en una caja,{0} chance de encontrar [color=#FF8C00]Crisis[/color] de 3 tipos em uma caixa,{0} Chance [color=#FF8C00]Krisen[/color] von 3 Arten in einer Kiste zu finden,Bir sandıkta 3 tür [color=#FF8C00]Kriz[/color] bulma şansı {0},{0} probabilità di trovare [color=#FF8C00]Crisis[/color] di 3 tipi in una cassa
EXTRA_LOOT_ALIENS,{0} Loot Aliens Each Wave,{0} Extra-terrestres de butin par vague,每波战利品外星人{0},毎ウェーブのルートエイリアン{0},매 웨이브 전리품 에일리언 {0},每波戰利品外星人{0},{0} инопланетян с добычей каждую волну,{0} Kosmici-Łupy w Każdej Fali,{0} Extraterrestres de Botín Cada Oleada,{0} Aliens de Saque por Onda,{0} Beute-Aliens jede Welle,Her Dalga {0} Ganimet Uzaylısı,{0} Alieni Bottino per Onda
EFFECT_FOXLAB_MUTATION,You'll active the effects when you survive a wave with [color=#FF8C00]9[/color] crises (currently {0}):,Vous activez les effets quand vous survivez à une vague avec [color=#FF8C00]9[/color] crises (actuellement {0}) :,首次持有[color=#FF8C00]9[/color]危机完成敌袭，激活以下效果（当前{0}）：,[color=#FF8C00]9[/color]つの危機を持った状態でウェーブをクリアすると、以下の効果が発動する（現在{0}）：,[color=#FF8C00]9[/color]개의 위기를 보유한 채로 웨이브를 생존하면 다음 효과가 활성화됩니다 (현재 {0}):,首次持有[color=#FF8C00]9[/color]危機完成敵襲，啟動以下效果（目前{0}）：,Вы активируете эффекты когда переживаете волну с [color=#FF8C00]9[/color] кризисами (сейчас {0}):,Aktywujesz efekty,Activarás los efectos cuando sobrevivas una oleada con [color=#FF8C00]9[/color] crisis (actualmente {0}):,Você ativará os efeitos ao sobreviver a uma onda com [color=#FF8C00]9[/color] crises (atualmente {0}):,Du aktivierst die Effekte wenn du eine Welle mit [color=#FF8C00]9[/color] Krisen überlebst (aktuell {0}):,[color=#FF8C00]9[/color] krizle bir hücum atladığında etkiler aktifleşir (şu an {0}):,Attiverai gli effetti quando sopravvivi a un'onda con [color=#FF8C00]9[/color] crisis (attualmente {0}):
EFFECT_FOXLAB_MUTATION_DESTROY_WEAPONS,Fuse all weapons the [color=#FF8C00]first time [/color]you survive a wave,Fusionnez toutes les armes la [color=#FF8C00]première fois[/color] que vous survivez à une vague,[color=#FF8C00]首次[/color]敌袭结束时融合所有武器,[color=#FF8C00]初めて[/color]ウェーブをクリアした時、すべての武器を融合する,웨이브를 생존할 때 [color=#FF8C00]처음으로[/color] 모든 무기를 융합합니다,[color=#FF8C00]首次[/color]敵襲結束時融合所有武器,Объединить всё оружие при [color=#FF8C00]первом[/color] пережитии волны,Połącz wszystkie bronie [color=#FF8C00]za pierwszym razem[/color],Fusionar todas las armas la [color=#FF8C00]primera vez[/color] que sobrevivas una oleada,Funda todas as armas na [color=#FF8C00]primeira vez[/color] que você sobrevive a uma onda,Alle Waffen beim [color=#FF8C00]ersten Mal[/color] fusionieren wenn du eine Welle überlebst,Bir hücum atladığında tüm silahları [color=#FF8C00]ilk kez[/color] birleştir,Fondi tutte le armi la [color=#FF8C00]prima volta[/color] che sopravvivi a un'onda
